Account,Transaction ID,Timestamp,Date,Delta,Amount,Cash Change Type,Currency,Contract
DEMO4543231,239056644976,06/30/2025 01:30:11,2025-06-30,-0.02,"50,003.86", Nfa Fee,USD,MGCQ5
DEMO4543231,239056644977,06/30/2025 01:30:11,2025-06-30,-0.35,"50,003.51", Commission,USD,MGCQ5
DEMO4543231,239056644980,06/30/2025 01:30:11,2025-06-30,-1.00,"50,002.51", Trade Paired,USD,MGCQ5
DEMO4543231,239056644985,06/30/2025 01:30:13,2025-06-30,-0.19,"50,002.32", Clearing Fee,USD,MCLQ5
DEMO4543231,239056644986,06/30/2025 01:30:13,2025-06-30,-0.35,"50,001.97", Commission,USD,MCLQ5
DEMO4543231,239056644989,06/30/2025 01:30:13,2025-06-30,-1.00,"50,000.97", Trade Paired,USD,MCLQ5
DEMO4543231,239056644994,06/30/2025 01:45:08,2025-06-30,-0.35,"50,000.62", Exchange Fee,USD,MESU5
DEMO4543231,239056644995,06/30/2025 01:45:08,2025-06-30,-0.19,"50,000.43", Clearing Fee,USD,MESU5
DEMO4543231,239056644996,06/30/2025 01:45:08,2025-06-30,-0.02,"50,000.41", Nfa Fee,USD,MESU5
DEMO4543231,239056644997,06/30/2025 01:45:08,2025-06-30,-0.35,"50,000.06", Commission,USD,MESU5
DEMO4543231,239056645003,06/30/2025 01:47:38,2025-06-30,-0.35,"49,999.71", Exchange Fee,USD,MESU5
DEMO4543231,239056645004,06/30/2025 01:47:38,2025-06-30,-0.19,"49,999.52", Clearing Fee,USD,MESU5
DEMO4543231,239056645005,06/30/2025 01:47:38,2025-06-30,-0.02,"49,999.50", Nfa Fee,USD,MESU5
DEMO4543231,239056645006,06/30/2025 01:47:38,2025-06-30,-0.35,"49,999.15", Commission,USD,MESU5
DEMO4543231,239056645014,06/30/2025 02:00:00,2025-06-30,-0.50,"49,998.65", Exchange Fee,USD,MGCQ5
DEMO4543231,239056645015,06/30/2025 02:00:00,2025-06-30,-0.19,"49,998.46", Clearing Fee,USD,MGCQ5
DEMO4543231,239056645016,06/30/2025 02:00:00,2025-06-30,-0.02,"49,998.44", Nfa Fee,USD,MGCQ5
DEMO4543231,239056645017,06/30/2025 02:00:00,2025-06-30,-0.35,"49,998.09", Commission,USD,MGCQ5
DEMO4543231,239056645023,06/30/2025 02:00:11,2025-06-30,-0.35,"49,997.74", Exchange Fee,USD,MESU5
DEMO4543231,239056645024,06/30/2025 02:00:11,2025-06-30,-0.19,"49,997.55", Clearing Fee,USD,MESU5
DEMO4543231,239056645025,06/30/2025 02:00:11,2025-06-30,-0.02,"49,997.53", Nfa Fee,USD,MESU5
DEMO4543231,239056645026,06/30/2025 02:00:11,2025-06-30,-0.35,"49,997.18", Commission,USD,MESU5
DEMO4543231,239056645032,06/30/2025 02:00:20,2025-06-30,-0.50,"49,996.68", Exchange Fee,USD,MGCQ5
DEMO4543231,239056645033,06/30/2025 02:00:20,2025-06-30,-0.19,"49,996.49", Clearing Fee,USD,MGCQ5
DEMO4543231,239056645034,06/30/2025 02:00:20,2025-06-30,-0.02,"49,996.47", Nfa Fee,USD,MGCQ5
DEMO4543231,239056645035,06/30/2025 02:00:20,2025-06-30,-0.35,"49,996.12", Commission,USD,MGCQ5
DEMO4543231,239056645038,06/30/2025 02:00:20,2025-06-30,5.00,"50,001.12", Trade Paired,USD,MGCQ5
DEMO4543231,239056645043,06/30/2025 02:00:21,2025-06-30,-0.19,"50,000.93", Clearing Fee,USD,MCLQ5
DEMO4543231,239056645044,06/30/2025 02:00:21,2025-06-30,-0.35,"50,000.58", Commission,USD,MCLQ5
DEMO4543231,239056645050,06/30/2025 02:00:56,2025-06-30,-0.19,"50,000.39", Clearing Fee,USD,MCLQ5
DEMO4543231,239056645051,06/30/2025 02:00:56,2025-06-30,-0.35,"50,000.04", Commission,USD,MCLQ5
DEMO4543231,239056645054,06/30/2025 02:00:56,2025-06-30,1.00,"50,001.04", Trade Paired,USD,MCLQ5
DEMO4543231,239056645059,06/30/2025 02:06:15,2025-06-30,-0.35,"50,000.69", Exchange Fee,USD,MESU5
DEMO4543231,239056645060,06/30/2025 02:06:15,2025-06-30,-0.19,"50,000.50", Clearing Fee,USD,MESU5
DEMO4543231,239056645061,06/30/2025 02:06:15,2025-06-30,-0.02,"50,000.48", Nfa Fee,USD,MESU5
DEMO4543231,239056645062,06/30/2025 02:06:15,2025-06-30,-0.35,"50,000.13", Commission,USD,MESU5
DEMO4543231,239056645065,06/30/2025 02:06:15,2025-06-30,5.00,"50,005.13", Trade Paired,USD,MESU5
DEMO4543231,239056645070,06/30/2025 02:15:00,2025-06-30,-0.35,"50,004.78", Exchange Fee,USD,MESU5
DEMO4543231,239056645071,06/30/2025 02:15:00,2025-06-30,-0.19,"50,004.59", Clearing Fee,USD,MESU5
DEMO4543231,239056645072,06/30/2025 02:15:00,2025-06-30,-0.02,"50,004.57", Nfa Fee,USD,MESU5
DEMO4543231,239056645073,06/30/2025 02:15:00,2025-06-30,-0.35,"50,004.22", Commission,USD,MESU5
DEMO4543231,239056645079,06/30/2025 02:15:36,2025-06-30,-0.35,"50,003.87", Exchange Fee,USD,MESU5
DEMO4543231,239056645080,06/30/2025 02:15:36,2025-06-30,-0.19,"50,003.68", Clearing Fee,USD,MESU5
DEMO4543231,239056645081,06/30/2025 02:15:36,2025-06-30,-0.02,"50,003.66", Nfa Fee,USD,MESU5
DEMO4543231,239056645082,06/30/2025 02:15:36,2025-06-30,-0.35,"50,003.31", Commission,USD,MESU5
DEMO4543231,239056645085,06/30/2025 02:15:36,2025-06-30,1.25,"50,004.56", Trade Paired,USD,MESU5
DEMO4543231,239056645090,06/30/2025 02:30:01,2025-06-30,-0.35,"50,004.21", Exchange Fee,USD,MESU5
DEMO4543231,239056645091,06/30/2025 02:30:01,2025-06-30,-0.19,"50,004.02", Clearing Fee,USD,MESU5
DEMO4543231,239056645092,06/30/2025 02:30:01,2025-06-30,-0.02,"50,004.00", Nfa Fee,USD,MESU5
DEMO4543231,239056645093,06/30/2025 02:30:01,2025-06-30,-0.35,"50,003.65", Commission,USD,MESU5
DEMO4543231,239056645099,06/30/2025 02:30:10,2025-06-30,-0.50,"50,003.15", Exchange Fee,USD,MGCQ5
DEMO4543231,239056645100,06/30/2025 02:30:10,2025-06-30,-0.19,"50,002.96", Clearing Fee,USD,MGCQ5
DEMO4543231,239056645101,06/30/2025 02:30:10,2025-06-30,-0.02,"50,002.94", Nfa Fee,USD,MGCQ5
DEMO4543231,239056645102,06/30/2025 02:30:10,2025-06-30,-0.35,"50,002.59", Commission,USD,MGCQ5
DEMO4543231,239056645108,06/30/2025 02:31:14,2025-06-30,-0.50,"50,002.09", Exchange Fee,USD,MGCQ5
DEMO4543231,239056645109,06/30/2025 02:31:14,2025-06-30,-0.19,"50,001.90", Clearing Fee,USD,MGCQ5
DEMO4543231,239056645110,06/30/2025 02:31:14,2025-06-30,-0.02,"50,001.88", Nfa Fee,USD,MGCQ5
DEMO4543231,239056645111,06/30/2025 02:31:14,2025-06-30,-0.35,"50,001.53", Commission,USD,MGCQ5
DEMO4543231,239056645114,06/30/2025 02:31:14,2025-06-30,5.00,"50,006.53", Trade Paired,USD,MGCQ5
DEMO4543231,239056645119,06/30/2025 02:44:40,2025-06-30,-0.35,"50,006.18", Exchange Fee,USD,MESU5
DEMO4543231,239056645120,06/30/2025 02:44:40,2025-06-30,-0.19,"50,005.99", Clearing Fee,USD,MESU5
DEMO4543231,239056645121,06/30/2025 02:44:40,2025-06-30,-0.02,"50,005.97", Nfa Fee,USD,MESU5
DEMO4543231,239056645122,06/30/2025 02:44:40,2025-06-30,-0.35,"50,005.62", Commission,USD,MESU5
DEMO4543231,239056645125,06/30/2025 02:44:40,2025-06-30,-20.00,"49,985.62", Trade Paired,USD,MESU5
DEMO4543231,239056645130,06/30/2025 03:00:00,2025-06-30,-0.50,"49,985.12", Exchange Fee,USD,MGCQ5
DEMO4543231,239056645131,06/30/2025 03:00:00,2025-06-30,-0.19,"49,984.93", Clearing Fee,USD,MGCQ5
DEMO4543231,239056645132,06/30/2025 03:00:00,2025-06-30,-0.02,"49,984.91", Nfa Fee,USD,MGCQ5
DEMO4543231,239056645133,06/30/2025 03:00:00,2025-06-30,-0.35,"49,984.56", Commission,USD,MGCQ5
DEMO4543231,239056645139,06/30/2025 03:00:27,2025-06-30,-0.50,"49,984.06", Exchange Fee,USD,MGCQ5
DEMO4543231,239056645140,06/30/2025 03:00:27,2025-06-30,-0.19,"49,983.87", Clearing Fee,USD,MGCQ5
DEMO4543231,239056645141,06/30/2025 03:00:27,2025-06-30,-0.02,"49,983.85", Nfa Fee,USD,MGCQ5
DEMO4543231,239056645142,06/30/2025 03:00:27,2025-06-30,-0.35,"49,983.50", Commission,USD,MGCQ5
DEMO4543231,239056645145,06/30/2025 03:00:27,2025-06-30,-7.00,"49,976.50", Trade Paired,USD,MGCQ5
DEMO4543231,239056645150,06/30/2025 03:15:05,2025-06-30,-0.35,"49,976.15", Exchange Fee,USD,MESU5
DEMO4543231,239056645151,06/30/2025 03:15:05,2025-06-30,-0.19,"49,975.96", Clearing Fee,USD,MESU5
DEMO4543231,239056645152,06/30/2025 03:15:05,2025-06-30,-0.02,"49,975.94", Nfa Fee,USD,MESU5
DEMO4543231,239056645153,06/30/2025 03:15:05,2025-06-30,-0.35,"49,975.59", Commission,USD,MESU5
DEMO4543231,239056645159,06/30/2025 03:17:26,2025-06-30,-0.35,"49,975.24", Exchange Fee,USD,MESU5
DEMO4543231,239056645160,06/30/2025 03:17:26,2025-06-30,-0.19,"49,975.05", Clearing Fee,USD,MESU5
DEMO4543231,239056645161,06/30/2025 03:17:26,2025-06-30,-0.02,"49,975.03", Nfa Fee,USD,MESU5
DEMO4543231,239056645162,06/30/2025 03:17:26,2025-06-30,-0.35,"49,974.68", Commission,USD,MESU5
DEMO4543231,239056645165,06/30/2025 03:17:26,2025-06-30,3.75,"49,978.43", Trade Paired,USD,MESU5
DEMO4543231,239056645170,06/30/2025 03:30:14,2025-06-30,-0.50,"49,977.93", Exchange Fee,USD,MGCQ5
DEMO4543231,239056645171,06/30/2025 03:30:14,2025-06-30,-0.19,"49,977.74", Clearing Fee,USD,MGCQ5
DEMO4543231,239056645172,06/30/2025 03:30:14,2025-06-30,-0.02,"49,977.72", Nfa Fee,USD,MGCQ5
DEMO4543231,239056645173,06/30/2025 03:30:14,2025-06-30,-0.35,"49,977.37", Commission,USD,MGCQ5
DEMO4543231,239056645179,06/30/2025 03:39:07,2025-06-30,-0.50,"49,976.87", Exchange Fee,USD,MGCQ5
DEMO4543231,239056645180,06/30/2025 03:39:07,2025-06-30,-0.19,"49,976.68", Clearing Fee,USD,MGCQ5
DEMO4543231,239056645181,06/30/2025 03:39:07,2025-06-30,-0.02,"49,976.66", Nfa Fee,USD,MGCQ5
DEMO4543231,239056645182,06/30/2025 03:39:07,2025-06-30,-0.35,"49,976.31", Commission,USD,MGCQ5
DEMO4543231,239056645185,06/30/2025 03:39:07,2025-06-30,5.00,"49,981.31", Trade Paired,USD,MGCQ5
DEMO4543231,239056645190,06/30/2025 04:30:04,2025-06-30,-0.50,"49,980.81", Exchange Fee,USD,MGCQ5
DEMO4543231,239056645191,06/30/2025 04:30:04,2025-06-30,-0.19,"49,980.62", Clearing Fee,USD,MGCQ5
DEMO4543231,239056645192,06/30/2025 04:30:04,2025-06-30,-0.02,"49,980.60", Nfa Fee,USD,MGCQ5
DEMO4543231,239056645193,06/30/2025 04:30:04,2025-06-30,-0.35,"49,980.25", Commission,USD,MGCQ5
DEMO4543231,239056645199,06/30/2025 04:30:04,2025-06-30,-0.19,"49,980.06", Clearing Fee,USD,MCLQ5
DEMO4543231,239056645200,06/30/2025 04:30:04,2025-06-30,-0.35,"49,979.71", Commission,USD,MCLQ5
DEMO4543231,239056645206,06/30/2025 04:30:17,2025-06-30,-0.50,"49,979.21", Exchange Fee,USD,MGCQ5
DEMO4543231,239056645207,06/30/2025 04:30:17,2025-06-30,-0.19,"49,979.02", Clearing Fee,USD,MGCQ5
DEMO4543231,239056645208,06/30/2025 04:30:17,2025-06-30,-0.02,"49,979.00", Nfa Fee,USD,MGCQ5
DEMO4543231,239056645209,06/30/2025 04:30:17,2025-06-30,-0.35,"49,978.65", Commission,USD,MGCQ5
DEMO4543231,239056645212,06/30/2025 04:30:17,2025-06-30,-4.00,"49,974.65", Trade Paired,USD,MGCQ5
DEMO4543231,239056645217,06/30/2025 04:30:20,2025-06-30,-0.19,"49,974.46", Clearing Fee,USD,MCLQ5
DEMO4543231,239056645218,06/30/2025 04:30:20,2025-06-30,-0.35,"49,974.11", Commission,USD,MCLQ5
DEMO4543231,239056645221,06/30/2025 04:30:20,2025-06-30,3.00,"49,977.11", Trade Paired,USD,MCLQ5
DEMO4543231,239056645226,06/30/2025 05:00:01,2025-06-30,-0.19,"49,976.92", Clearing Fee,USD,MCLQ5
DEMO4543231,239056645227,06/30/2025 05:00:01,2025-06-30,-0.35,"49,976.57", Commission,USD,MCLQ5
DEMO4543231,239056645233,06/30/2025 05:11:54,2025-06-30,-0.19,"49,976.38", Clearing Fee,USD,MCLQ5
DEMO4543231,239056645234,06/30/2025 05:11:54,2025-06-30,-0.35,"49,976.03", Commission,USD,MCLQ5
DEMO4543231,239056645242,06/30/2025 05:30:01,2025-06-30,-0.50,"49,975.53", Exchange Fee,USD,MGCQ5
DEMO4543231,239056645243,06/30/2025 05:30:01,2025-06-30,-0.19,"49,975.34", Clearing Fee,USD,MGCQ5
DEMO4543231,239056645244,06/30/2025 05:30:01,2025-06-30,-0.02,"49,975.32", Nfa Fee,USD,MGCQ5
DEMO4543231,239056645245,06/30/2025 05:30:01,2025-06-30,-0.35,"49,974.97", Commission,USD,MGCQ5
DEMO4543231,239056645251,06/30/2025 05:30:34,2025-06-30,-0.50,"49,974.47", Exchange Fee,USD,MGCQ5
DEMO4543231,239056645252,06/30/2025 05:30:34,2025-06-30,-0.19,"49,974.28", Clearing Fee,USD,MGCQ5
DEMO4543231,239056645253,06/30/2025 05:30:34,2025-06-30,-0.02,"49,974.26", Nfa Fee,USD,MGCQ5
DEMO4543231,239056645254,06/30/2025 05:30:34,2025-06-30,-0.35,"49,973.91", Commission,USD,MGCQ5
DEMO4543231,239056645257,06/30/2025 05:30:34,2025-06-30,17.00,"49,990.91", Trade Paired,USD,MGCQ5
DEMO4543231,239056645262,06/30/2025 05:45:00,2025-06-30,-0.35,"49,990.56", Exchange Fee,USD,MESU5
DEMO4543231,239056645263,06/30/2025 05:45:00,2025-06-30,-0.19,"49,990.37", Clearing Fee,USD,MESU5
DEMO4543231,239056645264,06/30/2025 05:45:00,2025-06-30,-0.02,"49,990.35", Nfa Fee,USD,MESU5
DEMO4543231,239056645265,06/30/2025 05:45:00,2025-06-30,-0.35,"49,990.00", Commission,USD,MESU5
DEMO4543231,239056645271,06/30/2025 05:50:16,2025-06-30,-0.35,"49,989.65", Exchange Fee,USD,MESU5
DEMO4543231,239056645272,06/30/2025 05:50:16,2025-06-30,-0.19,"49,989.46", Clearing Fee,USD,MESU5
DEMO4543231,239056645273,06/30/2025 05:50:16,2025-06-30,-0.02,"49,989.44", Nfa Fee,USD,MESU5
DEMO4543231,239056645274,06/30/2025 05:50:16,2025-06-30,-0.35,"49,989.09", Commission,USD,MESU5
DEMO4543231,239056645277,06/30/2025 05:50:16,2025-06-30,-21.25,"49,967.84", Trade Paired,USD,MESU5
DEMO4543231,239056645282,06/30/2025 06:00:14,2025-06-30,-0.50,"49,967.34", Exchange Fee,USD,MGCQ5
DEMO4543231,239056645283,06/30/2025 06:00:14,2025-06-30,-0.19,"49,967.15", Clearing Fee,USD,MGCQ5
DEMO4543231,239056645284,06/30/2025 06:00:14,2025-06-30,-0.02,"49,967.13", Nfa Fee,USD,MGCQ5
DEMO4543231,239056645285,06/30/2025 06:00:14,2025-06-30,-0.35,"49,966.78", Commission,USD,MGCQ5
DEMO4543231,239056645291,06/30/2025 06:00:22,2025-06-30,-0.50,"49,966.28", Exchange Fee,USD,MGCQ5
